pH,ionic_strength_mM,zeta_mV_predicted,V_max_kT
4.0,10.0,-10.753333333333332,-0.13650351011453765
4.0508474576271185,10.0,-10.970847457627118,-0.1365035084420275
4.101694915254237,10.0,-11.188361581920901,-0.13650350673602518
4.1525423728813555,10.0,-11.405875706214687,-0.13650350499653074
4.203389830508475,10.0,-11.623389830508476,-0.13650350322354415
4.254237288135593,10.0,-11.84090395480226,-0.13650350141706546
4.305084745762712,10.0,-12.058418079096045,-0.1365034995770946
4.3559322033898304,10.0,-12.275932203389829,-0.13650349770363163
4.406779661016949,10.0,-12.493446327683614,-0.13650349579667653
4.4576271186440675,10.0,-12.7109604519774,-0.13650349385622929
4.508474576271187,10.0,-12.928474576271189,-0.004733183887569619
4.559322033898305,10.0,-13.145988700564972,0.23755831333632155
4.610169491525424,10.0,-13.363502824858758,0.49234755192390844
4.661016949152542,10.0,-13.581016949152541,0.7594867685010824
4.711864406779661,10.0,-13.798531073446327,1.0388410686713496
4.762711864406779,10.0,-14.016045197740112,1.3303519751040063
4.813559322033898,10.0,-14.233559322033898,1.633879144584986
4.864406779661017,10.0,-14.451073446327685,1.9494100129083491
4.915254237288136,10.0,-14.66858757062147,2.2768681659419396
4.966101694915254,10.0,-14.886101694915254,2.6161024357146725
5.016949152542373,10.0,-15.10361581920904,2.967245586473076
5.067796610169491,10.0,-15.321129943502825,3.3300960792788747
5.118644067796611,10.0,-15.538644067796614,3.7046643724566075
5.169491525423728,10.0,-15.756158192090394,4.0909241624184265
5.220338983050848,10.0,-15.973672316384182,4.488807233745131
5.271186440677966,10.0,-16.191186440677967,4.898294050327563
5.322033898305085,10.0,-16.408700564971753,5.319491896488954
5.372881355932203,10.0,-16.626214689265538,5.752140301165806
5.423728813559322,10.0,-16.843728813559323,6.196399558868051
5.474576271186441,10.0,-17.06124293785311,6.652248889444219
5.52542372881356,10.0,-17.44802259887006,7.491104575807599
5.576271186440678,10.0,-18.004067796610173,8.760782759600021
5.627118644067797,10.0,-18.560112994350284,10.105356499510993
5.677966101694915,10.0,-19.116158192090396,11.524435175932833
5.728813559322034,10.0,-19.672203389830507,13.01827321209024
5.779661016949152,10.0,-20.22824858757062,14.586559233620926
5.830508474576272,10.0,-20.78429378531074,16.22893376027133
5.88135593220339,10.0,-21.340338983050852,17.945492349317266
5.932203389830509,10.0,-21.896384180790964,19.73639760121451
5.983050847457627,10.0,-22.452429378531075,21.60144446227117
6.033898305084746,10.0,-23.008474576271187,23.539983887220806
6.084745762711865,10.0,-23.564519774011305,25.553258755637703
6.135593220338983,10.0,-24.120564971751406,27.639910700776685
6.186440677966102,10.0,-24.67661016949153,29.800340759549833
6.237288135593221,10.0,-25.23265536723164,32.03479849199186
6.288135593220339,10.0,-25.78870056497175,34.343357996039536
6.338983050847458,10.0,-26.344745762711863,36.72588995052983
6.389830508474576,10.0,-26.900790960451975,39.18202890239504
6.4406779661016955,10.0,-27.456836158192097,41.7111348318125
6.491525423728813,10.0,-28.012881355932198,44.31523425011573
6.5423728813559325,10.0,-28.56892655367232,46.99214061920574
6.593220338983051,10.0,-29.12497175141243,49.7435642408823
6.6440677966101696,10.0,-29.681016949152543,52.56699468621079
6.694915254237289,10.0,-30.23706214689266,55.4665488056864
6.745762711864407,10.0,-30.793107344632766,58.43880957972676
6.796610169491526,10.0,-31.349152542372885,61.484057200099336
6.8474576271186445,10.0,-31.905197740112996,64.6025998914234
6.898305084745763,10.0,-32.46124293785311,67.79581147167178
6.9491525423728815,10.0,-33.01728813559322,71.06298441704973
7.0,10.0,-33.57333333333333,74.40356002183788
4.0,10.46968825057556,-11.170562632067735,-0.14278177388645438
