pH,ionic_strength_mM,zeta_mV,radius_nm,n_replicates,kappa_inv_nm,V_max_kT,D_at_barrier_nm,barrier_present,stability_call,radius_outlier
3.0,25.0,17.64,92.96,1,1.9239660062398067,1.3166002525484326,2.1229409803267756,True,unstable,False
3.0,50.0,18.35,135.88,1,1.3604494097845667,-0.1423130898057585,50.0,False,unstable,False
3.0,100.0,20.35,195.23,1,0.9619830031199034,-0.27801948789029735,50.0,False,unstable,False
4.0,25.0,9.69,276.16,1,1.9239660062398067,-0.49575429597025,50.0,False,unstable,False
4.0,50.0,14.56,481.19,1,1.3604494097845667,-1.1344861197217928,50.0,False,unstable,False
4.0,100.0,17.05,8904.0,1,0.9619830031199034,-34.10173919160879,50.0,False,unstable,True
5.5,25.0,-21.16,87.13,1,1.9239660062398067,5.410476395888891,1.6257752584194731,True,unstable,False
5.5,50.0,-20.71,92.65,1,1.3604494097845667,1.117489766314811,1.5594864954984995,True,unstable,False
5.5,100.0,-16.4,87.63,1,0.9619830031199034,-0.056622831873243615,50.0,False,unstable,False
7.0,25.0,-24.08,80.06,1,1.9239660062398067,9.334189594793889,1.3606202067355786,True,unstable,False
7.0,50.0,-17.83,84.51,1,1.3604494097845667,-0.0521411073935062,50.0,False,unstable,False
7.0,100.0,-16.47,84.88,1,0.9619830031199034,-0.0526646748142891,50.0,False,unstable,False
