megadock_rank,restraints_satisfied,restraints_total,fraction_satisfied,complex_pdb
1,3,40,0.0750,beta_whey_complex.1.pdb
2,4,40,0.1000,beta_whey_complex.2.pdb
3,5,40,0.1250,beta_whey_complex.3.pdb
4,3,40,0.0750,beta_whey_complex.4.pdb
5,2,40,0.0500,beta_whey_complex.5.pdb
6,3,40,0.0750,beta_whey_complex.6.pdb
7,3,40,0.0750,beta_whey_complex.7.pdb
8,2,40,0.0500,beta_whey_complex.8.pdb
9,3,40,0.0750,beta_whey_complex.9.pdb
10,3,40,0.0750,beta_whey_complex.10.pdb
