pair_id,ligand_name,server,score,confidence_or_rank,complex_pdb_filename,notes,rank_in_server
D2,alpha_lactalbumin,HDOCK,-315.32,0.9646,D2_HDOCK.pdb,,1
D1,beta_lactoglobulin,HDOCK,-228.37,0.8274,D1_HDOCK.pdb,Paste HDOCK docking score (more negative = stronger in HDOCK).,2
