294	1.20
	0.000000	0.000000	0.000000
zein_blocked.pdb	-3.799501	-6.831500	-12.378501
kappa_casein_frag.pdb	-2.358501	4.961500	-12.094500
-2.879793	0.762244	-0.273349	10	63	75	1003.15
-0.785398	2.063651	-2.044600	283	35	22	974.32
-2.356194	0.831641	0.616218	255	70	54	905.30
2.356194	1.134796	2.434290	287	6	46	901.21
2.879793	1.545873	-1.877082	279	283	10	895.46
-1.832596	2.349581	-2.702517	229	15	9	884.71
-0.261799	2.089241	-0.114193	267	288	6	881.74
-0.785398	1.134796	2.434290	265	259	50	878.73
-1.047198	0.615174	-0.666022	249	28	83	878.58
-0.261799	0.571433	-1.188419	263	10	91	877.88
-1.047198	2.033014	2.977192	256	290	29	874.48
2.356194	1.554776	0.100351	252	19	38	872.05
-1.832596	1.870545	-2.976234	224	13	31	871.68
2.094395	0.906588	1.252948	269	22	45	867.08
-0.261799	0.700570	1.559208	280	268	60	865.48
2.879793	0.961715	0.014085	279	42	37	861.73
2.356194	1.948085	-2.363031	21	50	32	860.49
-2.879793	1.113094	-0.272241	7	75	60	858.19
-0.523599	1.554776	0.100351	4	10	32	857.07
-0.785398	0.864993	2.278281	265	257	58	855.57
-2.617994	1.113094	-0.272241	286	78	60	842.44
-0.261799	1.909857	-0.381669	264	283	15	840.70
-1.047198	1.134796	2.434290	271	8	54	839.34
2.356194	0.910508	1.903534	277	8	47	838.85
0.000000	0.700570	1.559208	292	269	60	834.28
2.356194	0.906588	1.252948	270	18	45	832.26
-0.523599	0.571433	-1.188419	262	16	91	831.68
2.879793	1.413430	2.550734	0	4	45	831.11
-1.308997	1.569311	-3.003978	237	278	47	830.62
2.094395	1.569311	-3.003978	0	4	35	827.85
-0.523599	1.982574	-1.115518	271	9	15	825.52
2.356194	0.297065	2.160177	285	42	75	824.88
-1.308997	0.864993	2.278281	275	13	58	822.19
1.570796	0.992645	-1.723759	20	10	82	821.18
-0.523599	2.063651	-2.044600	279	35	22	820.18
2.094395	1.870545	-2.976234	19	31	35	818.90
2.094395	1.741644	-2.695914	0	7	30	818.18
-0.785398	2.063651	-2.044600	284	35	23	817.55
-2.879793	1.510910	-0.740472	293	75	47	817.25
2.879793	2.104282	-0.813972	17	57	14	816.62
2.094395	1.736875	3.023612	259	267	37	815.37
2.879793	1.617114	-1.572037	272	283	13	814.82
-3.141593	2.455966	-0.641220	17	67	291	814.69
2.356194	1.301460	-0.509251	1	38	26	813.63
2.356194	1.301460	-0.509251	1	39	26	812.65
-3.141593	1.045978	0.343692	272	39	39	811.53
-1.308997	0.864993	2.278281	238	275	58	810.44
-0.261799	1.836682	-0.676006	15	45	31	809.90
-2.617994	2.164094	-2.991358	237	53	14	809.33
-2.617994	1.301460	-0.509251	283	79	57	808.51
2.617994	1.134796	2.434290	290	8	46	805.86
-1.047198	0.910508	1.903534	240	268	49	804.44
-0.523599	1.982574	-1.115518	283	18	16	802.85
-1.047198	1.870545	-2.976234	246	266	31	802.60
2.094395	2.153910	-1.714959	41	44	25	802.27
-1.047198	1.134796	2.434290	249	260	46	802.06
-0.785398	1.699788	2.452890	269	9	45	800.65
-0.785398	0.290380	-0.796960	264	33	89	799.17
0.000000	1.025536	1.576859	292	262	44	798.99
1.570796	1.214854	-1.966664	30	17	75	798.51
-2.356194	2.164094	-2.991358	230	40	14	797.61
2.617994	0.906588	1.252948	271	15	45	796.31
-1.308997	1.391910	3.030322	240	276	51	795.86
0.261799	1.301460	-0.509251	3	17	24	794.02
-0.523599	2.104282	-0.813972	33	46	43	793.94
2.617994	1.904882	-1.478089	237	266	22	792.53
-1.047198	0.866955	-0.931351	243	21	80	792.06
0.000000	2.153910	-1.714959	284	50	30	791.34
1.570796	0.080730	-2.622036	267	31	87	788.85
-3.141593	0.762244	-0.273349	20	56	76	788.29
-1.047198	1.574060	2.783565	252	276	38	788.16
2.356194	1.545873	-1.877082	284	11	17	786.50
-0.785398	0.571433	-1.188419	261	21	90	785.98
-1.047198	2.719179	-1.780644	241	293	289	784.95
-2.356194	2.164094	-2.991358	231	40	15	783.75
-1.047198	2.164094	-2.991358	277	36	36	783.38
-1.570796	1.870545	-2.976234	227	292	31	782.80
-2.617994	1.617114	-1.572037	264	63	46	782.53
2.879793	1.194549	-0.801900	265	13	14	782.53
1.832596	0.297065	2.160177	3	38	75	782.34
-3.141593	0.906588	1.252948	272	24	49	782.32
-1.308997	1.335669	0.897240	29	20	47	781.81
-1.308997	1.870545	-2.976234	236	278	31	781.43
-1.570796	2.579248	-2.364801	234	8	0	780.52
-2.879793	1.741644	-2.695914	242	70	42	780.24
2.094395	1.904882	-1.478089	43	38	37	779.80
2.356194	1.948085	-2.363031	18	33	29	778.71
2.617994	1.545873	-1.877082	271	285	10	778.71
-0.523599	1.599406	1.426070	7	56	62	778.21
-2.356194	1.417623	-0.202254	264	69	38	777.22
2.356194	1.904882	-1.478089	37	52	37	776.93
-1.047198	1.662363	0.915448	37	34	69	776.65
2.617994	1.948085	-2.363031	277	277	28	774.41
-1.047198	2.588535	-2.976617	14	67	71	774.26
0.000000	1.982574	-1.115518	284	18	16	773.96
2.617994	1.869911	2.701025	287	265	51	773.80
-1.832596	0.762244	-0.273349	252	54	71	773.65
2.879793	1.736875	3.023612	4	288	39	772.69
-1.047198	0.864993	2.278281	250	264	58	772.46
-0.785398	2.063651	-2.044600	283	34	22	772.29
2.094395	0.733948	3.021411	2	43	72	772.01
-2.879793	0.831641	0.616218	273	55	50	771.75
2.617994	1.904882	-1.478089	27	64	38	771.41
0.000000	1.504028	0.636812	267	258	16	770.97
-0.785398	2.396274	-1.959260	12	47	41	770.87
-2.356194	2.164094	-2.991358	230	41	14	770.66
0.000000	1.504028	0.636812	266	258	16	770.65
2.094395	0.914445	2.687814	9	51	64	770.55
-1.308997	0.618092	2.539118	253	276	75	770.36
-0.785398	0.866955	-0.931351	244	10	80	770.01
-0.785398	1.699788	2.452890	271	15	47	769.87
-1.308997	1.870545	-2.976234	235	278	31	769.84
2.094395	1.050534	3.042579	12	49	64	769.79
-1.570796	2.033014	2.977192	255	21	31	768.68
-1.570796	1.721184	-0.153948	11	292	36	768.46
-3.141593	1.301460	-0.509251	263	286	19	767.73
2.356194	1.440580	2.260026	267	254	43	766.87
-1.832596	2.349581	-2.702517	230	17	10	766.85
-1.047198	1.134796	2.434290	251	266	50	765.49
1.832596	0.914445	2.687814	16	45	64	765.41
-2.356194	2.187132	-0.479875	269	77	7	764.75
2.094395	0.618092	2.539118	2	46	70	764.09
-1.047198	0.914445	2.687814	258	263	64	763.40
-1.047198	0.571433	-1.188419	262	27	90	762.79
-0.261799	2.187132	-0.479875	265	289	7	762.46
0.000000	1.025536	1.576859	292	261	44	762.40
2.356194	1.417623	-0.202254	247	16	29	761.90
-1.308997	2.153910	-1.714959	7	27	25	761.74
-0.523599	2.588535	-2.976617	281	73	71	761.25
2.356194	1.367556	0.358405	252	16	39	761.02
2.879793	2.063651	-2.044600	270	247	29	760.99
-0.523599	1.732874	-0.951685	283	14	17	760.50
-3.141593	2.343981	-1.040456	10	76	9	760.37
2.879793	1.433411	-1.035986	21	62	57	760.35
0.000000	2.455966	-0.641220	266	281	292	759.85
1.832596	0.906588	1.252948	270	26	45	759.80
-2.617994	1.870545	-2.976234	228	54	26	759.58
-0.523599	2.164094	-2.991358	268	26	34	759.42
-2.617994	2.343981	-1.040456	273	79	9	759.07
-1.832596	0.458961	-0.107937	261	52	80	758.71
2.879793	1.870545	-2.976234	4	288	36	758.66
2.356194	1.168678	2.108595	263	254	32	758.49
-0.523599	2.356369	3.005869	278	76	67	757.54
-1.047198	1.391910	3.030322	251	267	51	757.54
2.617994	1.846342	-1.796954	266	282	21	756.89
2.356194	0.906588	1.252948	269	18	45	756.59
1.832596	1.050534	3.042579	18	43	64	756.13
-2.879793	1.417623	-0.202254	5	82	42	756.00
2.879793	1.569311	-3.003978	4	287	30	755.77
-0.785398	0.864993	2.278281	264	257	58	755.67
-1.047198	1.218453	2.777284	254	266	54	755.25
-2.617994	2.349581	-2.702517	234	53	6	755.17
2.094395	2.180315	-1.357379	43	36	21	755.12
-1.308997	0.864993	2.278281	276	14	58	755.00
2.094395	2.251330	-2.330739	18	24	20	754.15
2.879793	2.041297	-2.664597	6	20	29	753.79
-1.570796	1.909857	-0.381669	12	292	35	753.66
-2.879793	1.617114	-1.572037	276	67	47	753.48
-1.308997	1.134796	2.434290	270	15	54	752.69
-1.047198	1.870545	-2.976234	246	267	31	752.47
-2.617994	2.104282	-0.813972	277	82	19	752.13
1.570796	1.374601	-2.456031	40	35	68	751.82
2.094395	2.180315	-1.357379	44	37	21	751.81
-0.523599	1.417623	-0.202254	39	45	30	751.56
-2.356194	0.496451	0.593859	263	63	72	751.44
1.832596	0.906588	1.252948	269	26	45	751.03
2.617994	2.033014	2.977192	288	265	51	750.75
2.356194	1.242974	-2.977882	10	38	57	750.15
2.879793	0.910508	1.903534	283	6	47	750.14
-1.047198	1.809167	1.213774	27	39	77	747.73
0.523599	1.904882	-1.478089	268	69	24	746.63
2.094395	2.041297	-2.664597	19	29	28	746.48
-1.832596	1.569311	-3.003978	246	25	46	746.48
-2.356194	0.831641	0.616218	255	69	54	746.09
2.356194	1.869911	2.701025	274	266	51	745.73
2.617994	1.756530	-2.105156	285	293	21	745.72
2.356194	1.948085	-2.363031	267	280	28	745.60
2.879793	1.045978	0.343692	246	263	27	745.33
2.879793	2.104282	-0.813972	6	42	11	744.52
2.879793	1.045978	0.343692	277	42	39	744.40
-2.356194	0.709924	0.218797	266	68	66	744.33
2.617994	1.335669	0.897240	267	17	44	744.32
-0.523599	0.914445	2.687814	282	287	64	744.05
-0.523599	1.184361	0.625864	3	8	41	743.96
-1.047198	2.719179	-1.780644	242	293	289	743.51
2.879793	2.041297	-2.664597	290	257	36	743.31
2.879793	2.153910	-1.714959	8	40	17	743.06
2.879793	0.418037	1.360082	281	45	66	742.56
2.356194	1.168678	2.108595	287	19	53	742.50
0.000000	1.195355	1.200319	286	260	34	741.86
-2.879793	2.349581	-2.702517	244	65	6	741.76
-0.785398	2.295480	1.008277	6	25	91	741.71
-1.047198	2.719179	-1.780644	242	0	289	741.66
