pH,ionic_strength_mM,zeta_mV_predicted,V_max_kT
3.5,5.0,39.54558560761478,101.27330999804377
3.5677966101694913,5.0,39.47127175320075,100.81019029305476
3.635593220338983,5.0,39.384320212599434,100.26941916417816
3.7033898305084745,5.0,39.28261747778039,99.63842027391819
3.7711864406779663,5.0,39.16370976313924,98.9027446486136
3.8389830508474576,5.0,39.02475309655229,98.04585325260314
3.906779661016949,5.0,38.862457914249845,97.04889837951859
3.9745762711864407,5.0,38.67302827357676,95.890515395116
4.0423728813559325,5.0,38.45209615548971,94.5515456841864
4.110169491525424,5.0,38.19465184131917,93.00314711544897
4.177966101694915,5.0,37.89497205960407,91.21382469129071
4.245762711864407,5.0,37.5465485573815,89.1560269871155
4.313559322033898,5.0,37.142021005935916,86.79714019770547
4.38135593220339,5.0,36.67311974688623,84.09999187099224
4.4491525423728815,5.0,36.13062584433182,81.03203188603092
4.516949152542373,5.0,35.50435821659978,77.5620379310583
4.584745762711864,5.0,34.78320019206899,73.65749995534493
4.652542372881356,5.0,33.9551804750793,69.29585393220067
4.720338983050848,5.0,33.00762587361254,64.4652218180838
4.788135593220339,5.0,31.927404682997505,59.16706440246268
4.8559322033898304,5.0,30.701279558848682,53.42242077579467
4.923728813559322,5.0,29.31638604149765,47.2801545521583
4.991525423728813,5.0,27.760846465111598,40.81477329238549
5.059322033898305,5.0,26.024517710018856,34.1425891423661
5.127118644067797,5.0,24.099854463966352,27.419233753177778
5.194915254237288,5.0,21.982847591008422,20.838507764742204
5.262711864406779,5.0,19.673971594224824,14.635724660677166
5.330508474576272,5.0,17.179049661230792,9.077409379194009
5.398305084745763,5.0,14.509925023926954,4.450990381482093
5.466101694915254,5.0,11.684820227896367,1.0561422076288938
5.533898305084746,5.0,8.728277905600471,-0.039874560230895785
5.601694915254237,5.0,5.670611563687217,-0.0398745727126591
5.669491525423728,5.0,2.5468513759610403,-0.039874579989992845
5.73728813559322,5.0,-0.6047598121241506,-0.039874581725231395
5.805084745762712,5.0,-3.7445946536950245,-0.03987457785364941
5.872881355932203,5.0,-6.833613438396917,-0.03987456858984221
5.9406779661016955,5.0,-9.835274816465738,-0.03987455440497792
6.008474576271187,5.0,-12.717190533326857,2.1155716830458022
6.076271186440678,5.0,-15.452373548337842,5.928241010894301
6.1440677966101696,5.0,-18.01999479495553,10.817851030157714
6.211864406779661,5.0,-20.405636003990274,16.491162851091026
6.279661016949152,5.0,-22.60108939640481,22.67197891174978
6.347457627118644,5.0,-24.603799265393835,29.111237225391204
6.415254237288135,5.0,-26.416061581013278,35.59685070562775
6.483050847457627,5.0,-28.044097714169155,41.957638238900806
6.5508474576271185,5.0,-29.49710290085629,48.060609168771194
6.618644067796611,5.0,-30.786346131189898,53.81246614072864
6.686440677966102,5.0,-31.924372023370083,59.1524757454129
6.754237288135593,5.0,-32.92433142158767,64.04935759790828
6.822033898305085,5.0,-33.799448416267275,68.48864166629254
6.889830508474576,5.0,-34.562618006017544,72.48131467692222
6.9576271186440675,5.0,-35.2261203365697,76.04182972808925
7.025423728813559,5.0,-35.80143339245474,79.19917734705037
7.093220338983051,5.0,-36.29912502616254,81.98004838146468
7.161016949152542,5.0,-36.72880620708524,84.41750243078788
7.228813559322034,5.0,-37.099129481961505,86.54852880796469
7.296610169491526,5.0,-37.41781921996353,88.40260677467478
7.364406779661017,5.0,-37.69172284608986,90.00879983975815
7.432203389830509,5.0,-37.92687469681505,91.4036380031561
7.5,5.0,-38.12856623850745,92.60735307292505
3.5,5.322596738523791,39.54558560761478,100.52851073627868
3.5677966101694913,5.322596738523791,39.47127175320075,100.06616376449664
3.635593220338983,5.322596738523791,39.384320212599434,99.52629493324233
3.7033898305084745,5.322596738523791,39.28261747778039,98.89634888912735
3.7711864406779663,5.322596738523791,39.16370976313924,98.16190076716396
3.8389830508474576,5.322596738523791,39.02475309655229,97.30643912771392
3.906779661016949,5.322596738523791,38.862457914249845,96.31300728589704
3.9745762711864407,5.322596738523791,38.67302827357676,95.16239707119773
4.0423728813559325,5.322596738523791,38.45209615548971,93.82754079078065
