sample_id,protein_system,pH,ionic_strength_mM,zeta_mV,radius_nm,temperature_C,replicate
S001,zein_caseinate,3,25,8.8,82.96,25,1
S002,zein_caseinate,3,25,,,25,2
S003,zein_caseinate,3,25,,,25,3
S004,zein_caseinate,4,25,4.69,246.16,25,1
S005,zein_caseinate,4,25,,,25,2
S006,zein_caseinate,4,25,,,25,3
S007,zein_caseinate,5.5,25,-14.16,77.13,25,1
S008,zein_caseinate,5.5,25,,,25,2
S009,zein_caseinate,5.5,25,,,25,3
S010,zein_caseinate,7,25,-11.08,60.06,25,1
S011,zein_caseinate,7,25,,,25,2
S012,zein_caseinate,7,25,,,25,3
S013,zein_caseinate,3,50,12.35,115.88,25,1
S014,zein_caseinate,3,50,,,25,2
S015,zein_caseinate,3,50,,,25,3
S016,zein_caseinate,4,50,6.56,441.19,25,1
S017,zein_caseinate,4,50,,,25,2
S018,zein_caseinate,4,50,,,25,3
S019,zein_caseinate,5.5,50,-12.71,72.65,25,1
S020,zein_caseinate,5.5,50,,,25,2
S021,zein_caseinate,5.5,50,,,25,3
S022,zein_caseinate,7,50,-10.83,64.51,25,1
S023,zein_caseinate,7,50,,,25,2
S024,zein_caseinate,7,50,,,25,3
S025,zein_caseinate,3,100,13.35,175.23,25,1
S026,zein_caseinate,3,100,,,25,2
S027,zein_caseinate,3,100,,,25,3
S028,zein_caseinate,4,100,9.05,8404,25,1
S029,zein_caseinate,4,100,,,25,2
S030,zein_caseinate,4,100,,,25,3
S031,zein_caseinate,5.5,100,-11.4,67.63,25,1
S032,zein_caseinate,5.5,100,,,25,2
S033,zein_caseinate,5.5,100,,,25,3
S034,zein_caseinate,7,100,-12.47,64.88,25,1
S035,zein_caseinate,7,100,,,25,2
S036,zein_caseinate,7,100,,,25,3
